,brand,segment,month_end,AUC
138,NEO,2x. subprime,2022-12-31,0.0
139,NEO,2x. subprime,2023-01-31,0.0
140,NEO,2x. subprime,2023-02-28,0.0
141,NEO,2x. subprime,2023-03-31,0.0
142,NEO,2x. subprime,2023-05-31,0.0
143,NEO,2x. subprime,2023-06-30,0.0
144,NEO,2x. subprime,2023-04-30,0.0
145,NEO,2x. subprime,2023-08-31,0.0
146,NEO,2x. subprime,2023-07-31,0.5384615384615385
147,NEO,2x. subprime,2023-09-30,0.0888888888888888
148,NEO,2x. subprime,2024-05-31,0.0
149,NEO,2x. subprime,2023-12-31,-0.1630672926447574
150,NEO,2x. subprime,2023-11-30,0.06261904761904757
151,NEO,2x. subprime,2023-10-31,-0.22038567493112948
152,NEO,2x. subprime,2024-03-31,0.0
153,NEO,2x. subprime,2024-01-31,0.038346427235316005
154,NEO,2x. subprime,2024-06-30,0.0
155,NEO,2x. subprime,2024-02-29,-0.024074074074074026
156,NEO,2x. subprime,2024-04-30,0.0
157,NEO,2x. subprime,2024-07-31,0.0
158,NEO,2x. subprime,2020-04-30,0.0
159,NEO,5. undecided,2020-02-29,0.0
160,NEO,5. undecided,2020-03-31,0.0
161,NEO,5. undecided,2020-06-30,0.0
162,NEO,5. undecided,2020-07-31,0.0
163,NEO,5. undecided,2020-08-31,0.0
164,NEO,5. undecided,2020-09-30,0.0
165,NEO,5. undecided,2020-10-31,0.0
166,NEO,5. undecided,2020-11-30,0.0
167,NEO,5. undecided,2020-12-31,0.0
168,NEO,5. undecided,2021-01-31,0.0
169,NEO,5. undecided,2021-02-28,0.0
170,NEO,5. undecided,2021-03-31,0.0
171,NEO,5. undecided,2021-04-30,0.0
172,NEO,5. undecided,2021-05-31,0.0
173,NEO,5. undecided,2021-09-30,0.0
174,NEO,5. undecided,2021-07-31,0.0
175,NEO,5. undecided,2021-06-30,0.0
176,NEO,5. undecided,2021-10-31,0.0
177,NEO,5. undecided,2021-11-30,0.0
178,NEO,5. undecided,2021-08-31,0.0
179,NEO,5. undecided,2021-12-31,0.0
180,NEO,5. undecided,2022-01-31,0.0
181,NEO,5. undecided,2022-02-28,0.0
182,NEO,5. undecided,2022-03-31,0.0
183,NEO,5. undecided,2022-05-31,0.0
184,NEO,5. undecided,2022-04-30,0.0
185,NEO,5. undecided,2022-06-30,0.0
186,NEO,5. undecided,2022-07-31,0.0
187,NEO,5. undecided,2022-08-31,0.0
188,NEO,5. undecided,2022-09-30,0.0
189,NEO,5. undecided,2022-10-31,0.0
190,NEO,5. undecided,2022-11-30,0.0
191,NEO,5. undecided,2022-12-31,0.0
192,NEO,5. undecided,2023-01-31,0.0
193,NEO,5. undecided,2023-02-28,0.0
194,NEO,5. undecided,2023-03-31,0.0
195,NEO,5. undecided,2023-05-31,0.0
196,NEO,5. undecided,2023-06-30,0.0
197,NEO,5. undecided,2023-04-30,0.0
198,NEO,5. undecided,2023-08-31,0.0
199,NEO,5. undecided,2023-07-31,0.0
200,NEO,5. undecided,2023-09-30,0.0
201,NEO,5. undecided,2024-05-31,0.0
202,NEO,5. undecided,2023-12-31,0.0
203,NEO,5. undecided,2023-11-30,0.0
204,NEO,5. undecided,2023-10-31,0.0
205,NEO,5. undecided,2024-03-31,0.0
206,NEO,5. undecided,2024-01-31,0.0
207,NEO,5. undecided,2024-06-30,0.0
208,NEO,5. undecided,2024-02-29,0.0
209,NEO,5. undecided,2024-04-30,0.0
210,NEO,5. undecided,2024-07-31,0.0
211,NEO,5. undecided,2020-04-30,0.0
212,HBC,1. thick_prime,2020-02-29,0.0
213,HBC,1. thick_prime,2020-03-31,0.0
214,HBC,1. thick_prime,2020-06-30,0.0
215,HBC,1. thick_prime,2020-07-31,0.0
216,HBC,1. thick_prime,2020-08-31,0.0
217,HBC,1. thick_prime,2020-09-30,0.0
218,HBC,1. thick_prime,2020-10-31,0.0
219,HBC,1. thick_prime,2020-11-30,0.0
220,HBC,1. thick_prime,2020-12-31,0.0
221,HBC,1. thick_prime,2021-01-31,0.0
222,HBC,1. thick_prime,2021-02-28,0.0
223,HBC,1. thick_prime,2021-03-31,0.35642145825632077
224,HBC,1. thick_prime,2021-04-30,0.40544530615369845
225,HBC,1. thick_prime,2021-05-31,0.3499646824002409
226,HBC,1. thick_prime,2021-09-30,0.31131308566166505
227,HBC,1. thick_prime,2021-07-31,0.34906199177957364
228,HBC,1. thick_prime,2021-06-30,0.3460864143539253
229,HBC,1. thick_prime,2021-10-31,0.32566237160415556
230,HBC,1. thick_prime,2021-11-30,0.3063161505770604
231,HBC,1. thick_prime,2021-08-31,0.31855786098696925
232,HBC,1. thick_prime,2021-12-31,0.324887457995781
233,HBC,1. thick_prime,2022-01-31,0.3394868184677515
234,HBC,1. thick_prime,2022-02-28,0.31806514869364033
235,HBC,1. thick_prime,2022-03-31,0.31174722860281623
236,HBC,1. thick_prime,2022-05-31,0.2744946167172666
237,HBC,1. thick_prime,2022-04-30,0.30278653495866625
238,HBC,1. thick_prime,2022-06-30,0.30336021942037683
239,HBC,1. thick_prime,2022-07-31,0.2515400068422775
240,HBC,1. thick_prime,2022-08-31,0.27554594814831224
241,HBC,1. thick_prime,2022-09-30,0.2805835898746165
242,HBC,1. thick_prime,2022-10-31,0.29913091403584624
243,HBC,1. thick_prime,2022-11-30,0.2228298826515902
244,HBC,1. thick_prime,2022-12-31,0.22716811992307062
245,HBC,1. thick_prime,2023-01-31,0.2334283514808846
246,HBC,1. thick_prime,2023-02-28,0.2875007860893626
247,HBC,1. thick_prime,2023-03-31,0.3128465431842822
248,HBC,1. thick_prime,2023-05-31,0.2434953039698351
249,HBC,1. thick_prime,2023-06-30,0.27267887525961254
250,HBC,1. thick_prime,2023-04-30,0.28840994597496183
251,HBC,1. thick_prime,2023-08-31,0.22574009485675806
252,HBC,1. thick_prime,2023-07-31,0.2641030648929783
253,HBC,1. thick_prime,2023-09-30,0.22447639366987127
254,HBC,1. thick_prime,2024-05-31,0.0
255,HBC,1. thick_prime,2023-12-31,0.3273766235483455
256,HBC,1. thick_prime,2023-11-30,0.36861739056632925
257,HBC,1. thick_prime,2023-10-31,0.32290888236214155
258,HBC,1. thick_prime,2024-03-31,0.0
259,HBC,1. thick_prime,2024-01-31,0.4174997622314913
260,HBC,1. thick_prime,2024-06-30,0.0
261,HBC,1. thick_prime,2024-02-29,0.5674968020466902
262,HBC,1. thick_prime,2024-04-30,0.0
263,HBC,1. thick_prime,2024-07-31,0.0
264,HBC,1. thick_prime,2020-04-30,0.0
265,HBC,3. thin_prime,2020-02-29,0.0
266,HBC,3. thin_prime,2020-03-31,0.0
267,HBC,3. thin_prime,2020-06-30,0.0
268,HBC,3. thin_prime,2020-07-31,0.0
269,HBC,3. thin_prime,2020-08-31,0.0
270,HBC,3. thin_prime,2020-09-30,0.0
271,HBC,3. thin_prime,2020-10-31,0.0
272,HBC,3. thin_prime,2020-11-30,0.0
273,HBC,3. thin_prime,2020-12-31,0.0
274,HBC,3. thin_prime,2021-01-31,0.0
275,HBC,3. thin_prime,2021-02-28,0.0
276,HBC,3. thin_prime,2021-03-31,0.6512738853503184
277,HBC,3. thin_prime,2021-04-30,0.23393124065769788
278,HBC,3. thin_prime,2021-05-31,0.1543818466353677
279,HBC,3. thin_prime,2021-09-30,0.17310288954901454
280,HBC,3. thin_prime,2021-07-31,0.28897527910685805
281,HBC,3. thin_prime,2021-06-30,0.1119381287433856
282,HBC,3. thin_prime,2021-10-31,0.3322219912082691
283,HBC,3. thin_prime,2021-11-30,0.4286459746602933
284,HBC,3. thin_prime,2021-08-31,0.377512244553285
285,HBC,3. thin_prime,2021-12-31,0.5027467105263159
286,HBC,3. thin_prime,2022-01-31,0.5159687251523983
287,HBC,3. thin_prime,2022-02-28,0.43122388983444226
288,HBC,3. thin_prime,2022-03-31,0.24091066054955346
289,HBC,3. thin_prime,2022-05-31,0.29673270768161264
290,HBC,3. thin_prime,2022-04-30,0.31428571428571406
291,HBC,3. thin_prime,2022-06-30,0.16065359477124175
292,HBC,3. thin_prime,2022-07-31,0.2745853080568721
293,HBC,3. thin_prime,2022-08-31,0.20675282827221464
294,HBC,3. thin_prime,2022-09-30,0.22784575454208378
295,HBC,3. thin_prime,2022-10-31,0.21043266740241884
296,HBC,3. thin_prime,2022-11-30,0.3246178509336406
297,HBC,3. thin_prime,2022-12-31,0.25749757163671694
298,HBC,3. thin_prime,2023-01-31,0.46937269372693735
299,HBC,3. thin_prime,2023-02-28,0.46820809248554895
300,HBC,3. thin_prime,2023-03-31,0.3851616220037273
301,HBC,3. thin_prime,2023-05-31,0.33849814620109564
302,HBC,3. thin_prime,2023-06-30,0.31787336991797943
303,HBC,3. thin_prime,2023-04-30,0.29305233594864477
304,HBC,3. thin_prime,2023-08-31,0.37970809792843685
305,HBC,3. thin_prime,2023-07-31,0.2333823932092003
306,HBC,3. thin_prime,2023-09-30,0.2549293635120764
307,HBC,3. thin_prime,2024-05-31,0.0
308,HBC,3. thin_prime,2023-12-31,0.11239240594196875
309,HBC,3. thin_prime,2023-11-30,0.2262113650840798
310,HBC,3. thin_prime,2023-10-31,0.3745053702656871
311,HBC,3. thin_prime,2024-03-31,0.0
312,HBC,3. thin_prime,2024-01-31,0.2491675429372593
313,HBC,3. thin_prime,2024-06-30,0.0
314,HBC,3. thin_prime,2024-02-29,0.2637195121951219
315,HBC,3. thin_prime,2024-04-30,0.0
316,HBC,3. thin_prime,2024-07-31,0.0
317,HBC,3. thin_prime,2020-04-30,0.0
318,HBC,2x. subprime,2020-02-29,0.0
319,HBC,2x. subprime,2020-03-31,0.0
320,HBC,2x. subprime,2020-06-30,0.0
321,HBC,2x. subprime,2020-07-31,0.0
322,HBC,2x. subprime,2020-08-31,0.0
323,HBC,2x. subprime,2020-09-30,0.0
324,HBC,2x. subprime,2020-10-31,0.0
325,HBC,2x. subprime,2020-11-30,0.0
326,HBC,2x. subprime,2020-12-31,0.0
327,HBC,2x. subprime,2021-01-31,0.0
328,HBC,2x. subprime,2021-02-28,0.0
329,HBC,2x. subprime,2021-03-31,0.44401544401544424
330,HBC,2x. subprime,2021-04-30,0.462825278810409
331,HBC,2x. subprime,2021-05-31,0.23080811271877177
332,HBC,2x. subprime,2021-09-30,0.33853876185164555
333,HBC,2x. subprime,2021-07-31,0.28509982666752265
334,HBC,2x. subprime,2021-06-30,0.5046939714680168
335,HBC,2x. subprime,2021-10-31,0.31615990990990994
336,HBC,2x. subprime,2021-11-30,0.2261446298673513
337,HBC,2x. subprime,2021-08-31,0.4858333333333331
338,HBC,2x. subprime,2021-12-31,0.2923467113780589
339,HBC,2x. subprime,2022-01-31,0.4391722408026757
340,HBC,2x. subprime,2022-02-28,0.47658276125095345
341,HBC,2x. subprime,2022-03-31,0.379012345679012
342,HBC,2x. subprime,2022-05-31,0.34322992943682595
343,HBC,2x. subprime,2022-04-30,0.34119883040935695
344,HBC,2x. subprime,2022-06-30,0.34598214285714257
345,HBC,2x. subprime,2022-07-31,0.36410256410256414
346,HBC,2x. subprime,2022-08-31,0.34764089121887287
347,HBC,2x. subprime,2022-09-30,0.25806451612903225
348,HBC,2x. subprime,2022-10-31,0.0
349,HBC,2x. subprime,2022-11-30,0.0
350,HBC,2x. subprime,2022-12-31,0.0
351,HBC,2x. subprime,2023-01-31,0.0
352,HBC,2x. subprime,2023-02-28,0.0
353,HBC,2x. subprime,2023-03-31,0.0
354,HBC,2x. subprime,2023-05-31,0.0
355,HBC,2x. subprime,2023-06-30,0.0
356,HBC,2x. subprime,2023-04-30,0.0
357,HBC,2x. subprime,2023-08-31,0.0
358,HBC,2x. subprime,2023-07-31,-0.3883928571428571
359,HBC,2x. subprime,2023-09-30,0.16216216216216206
360,HBC,2x. subprime,2024-05-31,0.0
361,HBC,2x. subprime,2023-12-31,0.20325203252032487
362,HBC,2x. subprime,2023-11-30,0.3265476854433911
363,HBC,2x. subprime,2023-10-31,0.11758691206543981
364,HBC,2x. subprime,2024-03-31,0.0
