,Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
1819,7,238,7-238,Leaf,,,,,-0.0199153274,90.0712967,
1820,7,239,7-239,Leaf,,,,,-0.113957897,403.39682,
1821,7,240,7-240,Leaf,,,,,-0.00879651029,4.53962374,
1822,7,241,7-241,Leaf,,,,,0.0309697576,12.4657431,
1823,7,242,7-242,Leaf,,,,,-0.10794995,8.3438158,
1824,8,0,8-0,last_nonNull_CVSC100,658.5,8-1,8-2,8-2,2830.53125,228361.047,
1825,8,1,8-1,avg_dpd_last3Mo,6.5,8-3,8-4,8-4,732.905273,14510.1113,
1826,8,2,8-2,utilization,0.587750018,8-5,8-6,8-5,326.15625,213850.938,
1827,8,3,8-3,3MoInterestAvg,0.00499999989,8-7,8-8,8-7,243.707031,9937.30078,
1828,8,4,8-4,last_nonNull_CVSC100,609.5,8-9,8-10,8-10,206.044983,4572.81055,
1829,8,5,8-5,last_nonNull_CVSC100,720.5,8-11,8-12,8-12,61.0625,204717.047,
1830,8,6,8-6,avg_dpd_last3Mo,6.5,8-13,8-14,8-14,141.088867,9133.89258,
1831,8,7,8-7,GO21_backfill,4.5,8-15,8-16,8-16,15.3481445,3494.69922,
1832,8,8,8-8,last_nonNull_CVSC100,585.5,8-17,8-18,8-18,141.649902,6442.60107,
1833,8,9,8-9,deposits_amount,0.855000019,8-19,8-20,8-20,102.5896,2213.81201,
1834,8,10,8-10,3MoInterestAvg,57.3083344,8-21,8-22,8-21,74.0507812,2358.99878,
1835,8,11,8-11,3MoInterestAvg,0.0616666675,8-23,8-24,8-23,35.5195312,16696.4902,
1836,8,12,8-12,max_dpd_last6Mo,13.5,8-25,8-26,8-25,13.46875,188020.547,
1837,8,13,8-13,last_nonNull_CVSC100,716.5,8-27,8-28,8-28,26.3896484,7537.09521,
1838,8,14,8-14,RE28_backfill,20025.0,8-29,8-30,8-29,49.4916992,1596.797,
1839,8,15,8-15,deposits_amount,25.7449989,8-31,8-32,8-32,6.68701172,3119.70874,
1840,8,16,8-16,deposits_amount,50.2000008,8-33,8-34,8-34,10.391449,374.990417,
1841,8,17,8-17,deposits_amount,15.75,8-35,8-36,8-36,85.0063171,931.917725,
1842,8,18,8-18,GO21_backfill,4.5,8-37,8-38,8-38,62.5800781,5510.68359,
1843,8,19,8-19,amountOverLimit,94.6750031,8-39,8-40,8-40,41.4382248,543.816467,
1844,8,20,8-20,GO21_backfill,2.5,8-41,8-42,8-42,37.6916504,1669.99548,
1845,8,21,8-21,RE28_backfill,5837.5,8-43,8-44,8-44,72.3151855,2175.57764,
1846,8,22,8-22,deposits_amount,452.5,8-45,8-46,8-46,20.3134384,183.42099,
1847,8,23,8-23,GO21_backfill,3.5,8-47,8-48,8-48,2.40820312,11566.249,
1848,8,24,8-24,deposits_amount,0.109999999,8-49,8-50,8-50,17.4545898,5130.24072,
1849,8,25,8-25,last_nonNull_CVSC100,780.5,8-51,8-52,8-51,3.625,182810.531,
1850,8,26,8-26,deposits_amount,0.00499999989,8-53,8-54,8-54,13.9941406,5210.02686,
1851,8,27,8-27,GO152_backfill,1.5,8-55,8-56,8-56,17.2890625,4701.95605,
1852,8,28,8-28,GO152_backfill,6.5,8-57,8-58,8-58,3.41552734,2835.13916,
1853,8,29,8-29,deposits_amount,28.3100014,8-59,8-60,8-59,39.0833435,997.565796,
1854,8,30,8-30,avg_dpd_last9Mo,53.5,8-61,8-62,8-62,11.8121948,599.23114,
1855,8,31,8-31,utilization,0.8222,8-63,8-64,8-64,4.61204529,188.868469,
1856,8,32,8-32,last3MonthUtilization,1.13440692,8-65,8-66,8-66,3.52832031,2930.84033,
1857,8,33,8-33,last_nonNull_CVSC100,644.5,8-67,8-68,8-68,7.67429352,39.9350853,
1858,8,34,8-34,max_dpd_last6Mo,50.0,8-69,8-70,8-70,6.14370728,335.055328,
1859,8,35,8-35,last3MonthUtilization,1.03029823,8-71,8-72,8-72,30.3311501,128.284561,
1860,8,36,8-36,3MoInterestAvg,19.2916679,8-73,8-74,8-74,37.3458557,803.633179,
1861,8,37,8-37,utilization,1.01854992,8-75,8-76,8-76,30.8566895,4451.80127,
1862,8,38,8-38,deposits_amount,99.4949951,8-77,8-78,8-78,18.3411255,1058.88208,
1863,8,39,8-39,GO21_backfill,6.5,8-79,8-80,8-80,19.2542934,445.391815,
1864,8,40,8-40,amountOverLimit,226.949997,8-81,8-82,8-82,7.7610054,98.4246826,
1865,8,41,8-41,3MoInterestAvg,4.78833342,8-83,8-84,8-83,19.4230652,794.979309,
1866,8,42,8-42,last_nonNull_CVSC100,504.5,8-85,8-86,8-86,18.1635437,875.016174,
1867,8,43,8-43,deposits_amount,60.0100021,8-87,8-88,8-88,32.9163666,832.528687,
1868,8,44,8-44,3MoInterestAvg,11.5949993,8-89,8-90,8-89,25.5286865,1343.04907,
1869,8,45,8-45,utilization,1.16480005,8-91,8-92,8-92,13.1976109,134.592239,
1870,8,46,8-46,avg_dpd_last3Mo,22.5,8-93,8-94,8-94,5.62856483,48.8287506,
1871,8,47,8-47,deposits_amount,1.00999999,8-95,8-96,8-96,0.393554688,10432.6543,
